level,province,city,organization,seed_url,priority,verification_status,notes
国家,,,国家医疗保障局,https://www.nhsa.gov.cn/,high,verified,国家层面主站
省级,北京,,北京市医疗保障局,https://ybj.beijing.gov.cn/,high,verified,
省级,天津,,天津市医疗保障局,https://ylbz.tj.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,河北,,河北省医疗保障局,https://ylbzj.hebei.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,山西,,山西省医疗保障局,https://ybj.shanxi.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,内蒙古,,内蒙古自治区医疗保障局,https://ylbzj.nmg.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,辽宁,,辽宁省医疗保障局,https://ybj.ln.gov.cn/,high,verified,国家试点通知涉及省份
省级,吉林,,吉林省医疗保障局,https://ybj.jl.gov.cn/,normal,verified,
省级,黑龙江,,黑龙江省医疗保障局,https://ybj.hlj.gov.cn/,normal,verified,
省级,上海,,上海市医疗保障局,https://ybj.sh.gov.cn/,normal,verified,
省级,江苏,,江苏省医疗保障局,https://ybj.jiangsu.gov.cn/,high,verified,国家试点通知涉及省份
省级,浙江,,浙江省医疗保障局,https://ybj.zj.gov.cn/,high,needs_verify,国家试点通知涉及省份；首次基线请核验
省级,安徽,,安徽省医疗保障局,https://ybj.ah.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,福建,,福建省医疗保障局,https://ybj.fujian.gov.cn/,high,verified,国家试点通知涉及省份
省级,江西,,江西省医疗保障局,https://ybj.jiangxi.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,山东,,山东省医疗保障局,https://ybj.shandong.gov.cn/,normal,verified,
省级,河南,,河南省医疗保障局,https://ylbz.henan.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,湖北,,湖北省医疗保障局,https://ybj.hubei.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,湖南,,湖南省医疗保障局,https://ybj.hunan.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,广东,,广东省医疗保障局,https://hsa.gd.gov.cn/,high,needs_verify,国家试点通知涉及省份；首次基线请核验
省级,广西,,广西壮族自治区医疗保障局,https://ybj.gxzf.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,海南,,海南省医疗保障局,https://ybj.hainan.gov.cn/,high,needs_verify,国家医保局附件1确认的试点先行地区；省级入口同时作为试点固定来源
省级,重庆,,重庆市医疗保障局,https://ylbzj.cq.gov.cn/,high,needs_verify,国家医保局附件1确认的试点先行地区；省级入口同时作为试点固定来源
省级,四川,,四川省医疗保障局,https://ybj.sc.gov.cn/,high,needs_verify,国家试点通知涉及省份；首次基线请核验
省级,贵州,,贵州省医疗保障局,https://ybj.guizhou.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,云南,,云南省医疗保障局,https://ylbz.yn.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,西藏,,西藏自治区医疗保障局,https://ylbzj.xizang.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,陕西,,陕西省医疗保障局,https://ybj.shaanxi.gov.cn/,high,needs_verify,国家试点通知涉及省份；首次基线请核验
省级,甘肃,,甘肃省医疗保障局,https://ybj.gansu.gov.cn/,high,needs_verify,国家试点通知涉及省份；首次基线请核验
省级,青海,,青海省医疗保障局,https://ybj.qinghai.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,宁夏,,宁夏回族自治区医疗保障局,https://ybj.nx.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
省级,新疆,,新疆维吾尔自治区医疗保障局,https://ybj.xinjiang.gov.cn/,normal,needs_verify,首次基线运行请核验并纠正
试点先行地区,北京,海淀区,北京市海淀区医疗保障局,https://www.bjhd.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,辽宁,大连市,大连市医疗保障局,https://ybj.dl.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,江苏,南京市,南京市医疗保障局,https://ybj.nanjing.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,江苏,苏州市,苏州市医疗保障局,https://ybj.suzhou.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,浙江,杭州市,杭州市医疗保障局,https://www.hangzhou.gov.cn/col/col1229460765/index.html,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,浙江,温州市,温州市医疗保障局,https://ybj.wenzhou.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,福建,厦门市,厦门市医疗保障局,https://ylbz.xm.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,福建,三明市,三明市医疗保障局,https://www.sm.gov.cn/szfgzjg/ylbzj/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,广东,深圳市,深圳市医疗保障局,https://hsa.sz.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,四川,成都市,成都市医疗保障局,https://cdyb.chengdu.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,陕西,西安市,西安市医疗保障局,https://ybj.xa.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
试点先行地区,甘肃,兰州市,兰州市医疗保障局,https://ybj.lanzhou.gov.cn/,high,verified,国家医保局医保办发〔2025〕15号附件1确认
